City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Prabumulih,-3.45,104.25,76.46,78,7,2.51,ID,1601736567
Constitución,-35.33,-72.42,54.09,60,0,11.01,CL,1601736568
Lebu,-37.62,-73.65,50.02,62,31,4.97,CL,1601736569
Bahir Dar,11.59,37.39,66.24,82,32,6.46,ET,1601736569
Cape Town,-33.93,18.42,75.0,49,20,10.29,ZA,1601736536
Hermanus,-34.42,19.23,64.99,77,55,8.01,ZA,1601736570
Hilo,19.73,-155.09,69.8,73,1,6.93,US,1601736553
Coos Bay,43.37,-124.22,54.0,100,90,5.82,US,1601736572
Maceió,-9.67,-35.74,80.6,65,75,11.41,BR,1601736574
Ginir,7.13,40.7,61.88,89,73,3.91,ET,1601736574
São Miguel do Araguaia,-13.28,-50.16,104.92,13,3,3.65,BR,1601736575
Jamestown,42.1,-79.24,46.99,93,90,5.82,US,1601736302
Xining,36.62,101.77,44.92,53,47,9.48,CN,1601736578
Nikolskoye,59.7,30.79,62.6,55,94,8.95,RU,1601736579
Barrow,71.29,-156.79,33.8,100,90,4.7,US,1601736579
Port Elizabeth,-33.92,25.57,60.8,93,75,9.17,ZA,1601736557
Labuan,5.28,115.24,77.0,94,40,2.24,MY,1601736581
Hasaki,35.73,140.83,66.2,88,75,1.12,JP,1601736582
Saint Paul Harbor,57.79,-152.41,48.2,87,90,4.7,US,1601736583
Ribeira Grande,38.52,-28.7,75.2,60,20,14.99,PT,1601736583
Busselton,-33.65,115.33,51.01,80,55,9.73,AU,1601736585
Atuona,-9.8,-139.03,77.61,80,7,25.19,PF,1601736585
Wakefield,53.68,-1.5,57.0,99,100,5.14,GB,1601736586
Arraial do Cabo,-22.97,-42.03,80.6,78,27,14.99,BR,1601736586
Hong Kong,22.29,114.16,82.99,75,85,8.93,HK,1601736485
Mana,5.66,-53.78,87.12,64,56,10.49,GF,1601736588
Kruisfontein,-34.0,24.73,60.01,90,100,5.99,ZA,1601736589
Sabha,27.04,14.43,104.18,8,0,12.8,LY,1601736589
East London,-33.02,27.91,60.8,100,90,14.99,ZA,1601736590
Labuhan,-6.88,112.21,82.27,72,60,1.88,ID,1601736591
Turaif,31.67,38.66,89.6,18,0,11.41,SA,1601736592
Hithadhoo,-0.6,73.08,83.37,77,78,13.49,MV,1601736593
Andenes,69.31,16.12,51.8,76,0,8.05,NO,1601736593
Sakaiminato,35.55,133.23,68.0,94,75,3.36,JP,1601736594
Meulaboh,4.14,96.13,78.04,81,100,5.28,ID,1601736594
Margate,51.38,1.39,60.01,80,100,4.0,GB,1601736595
Bluff,-46.6,168.33,55.99,89,100,11.99,NZ,1601736596
Vilcún,-38.65,-72.23,57.2,43,39,10.29,CL,1601736596
Bondo,3.81,23.69,85.35,60,52,1.28,CD,1601736597
Ancud,-41.87,-73.82,50.0,57,0,5.82,CL,1601736598
Isangel,-19.55,169.27,70.39,82,15,17.58,VU,1601736598
Gusau,12.16,6.66,82.62,61,100,4.41,NG,1601736599
Qaanaaq,77.48,-69.36,24.91,86,7,7.4,GL,1601736600
Dauphin,51.15,-100.05,35.6,100,90,4.7,CA,1601736471
Jalu,29.03,21.55,101.91,13,0,8.55,LY,1601736601
Jacksonville,30.33,-81.66,75.99,73,75,11.41,US,1601736324
Hirara,24.8,125.28,80.29,77,68,15.03,JP,1601736603
Torbay,47.67,-52.73,69.8,94,90,24.16,CA,1601736604
Ponnāni,10.77,75.93,80.6,78,75,4.7,IN,1601736605
Talwāra,31.95,75.87,75.85,38,0,2.44,IN,1601736605
Thompson,55.74,-97.86,32.0,83,75,1.9,CA,1601736606
Port-Cartier,50.03,-66.87,53.01,57,20,8.05,CA,1601736607
Lata,40.16,-8.33,63.0,58,33,8.01,PT,1601736607
Vestmannaeyjar,63.44,-20.27,44.6,75,40,6.93,IS,1601736608
Prince Rupert,54.32,-130.32,55.4,100,90,8.05,CA,1601736609
Saint George,37.1,-113.58,59.0,12,1,5.82,US,1601736602
Sendafa,9.15,39.03,68.0,56,40,14.99,ET,1601736611
Bibiani,6.46,-2.32,85.46,57,72,3.15,GH,1601736611
Carballo,43.21,-8.69,60.8,63,40,10.29,ES,1601736612
Wanning,18.8,110.4,81.03,88,20,6.08,CN,1601736613
Talnakh,69.49,88.4,28.4,92,95,26.84,RU,1601736613
Manta,-0.95,-80.73,75.2,78,90,1.12,EC,1601736473
Lompoc,34.64,-120.46,60.8,76,1,3.67,US,1601736615
Chui,-33.7,-53.46,55.08,59,69,13.44,UY,1601736615
Tasiilaq,65.61,-37.64,33.8,86,20,2.24,GL,1601736616
Kostanay,53.17,63.58,48.2,76,98,6.71,KZ,1601736617
Chálki,39.57,22.53,82.4,51,20,9.17,GR,1601736617
Upernavik,72.79,-56.15,33.12,89,100,17.94,GL,1601736618
Aden,12.78,45.04,84.97,71,0,12.35,YE,1601736507
New Norfolk,-42.78,147.06,51.01,82,100,2.68,AU,1601736620
Khatanga,71.97,102.5,19.81,96,25,9.95,RU,1601736621
Boyuibe,-20.42,-63.28,78.8,44,0,5.82,BO,1601736621
Kathmandu,27.72,85.32,73.4,88,40,4.7,NP,1601736551
Hobart,-42.88,147.33,53.6,87,90,6.93,AU,1601736594
Colomi,-17.35,-65.87,73.4,33,20,4.7,BO,1601736425
Yulara,-25.24,130.99,80.6,36,84,5.82,AU,1601736624
Santa Marta de Tormes,40.95,-5.63,57.2,41,40,17.22,ES,1601736625
Narsaq,60.92,-46.05,39.2,87,75,2.24,GL,1601736625
Verkhnevilyuysk,63.45,120.32,30.29,90,48,8.46,RU,1601736626
Kununurra,-15.77,128.73,78.8,78,86,8.05,AU,1601736626
Badlapur,19.15,73.27,77.0,94,90,3.36,IN,1601736627
Port Blair,11.67,92.75,78.31,75,100,3.96,IN,1601736517
Cabo San Lucas,22.89,-109.91,80.6,69,5,3.36,MX,1601736628
Muros,42.78,-9.06,62.01,75,52,17.0,ES,1601736629
Rio Grande,-32.03,-52.1,52.0,95,98,12.95,BR,1601736608
Bredasdorp,-34.53,20.04,62.6,77,86,17.22,ZA,1601736630
Simao,22.79,100.97,66.74,94,97,2.04,CN,1601736631
Chokurdakh,70.63,147.92,29.46,88,100,12.68,RU,1601736632
Pangoa,-12.12,-73.0,87.08,54,25,1.61,PE,1601736633
Rawson,-43.3,-65.1,51.28,40,0,16.08,AR,1601736634
Lerik,38.77,48.41,75.2,69,40,8.05,AZ,1601736634
Avanigadda,16.02,80.92,82.4,88,90,3.36,IN,1601736635
Abashiri,44.02,144.27,62.01,76,98,5.99,JP,1601736636
Manaus,-3.1,-60.02,86.0,74,40,3.36,BR,1601736636
Ponta do Sol,32.67,-17.1,78.8,57,20,17.22,PT,1601736638
Cidreira,-30.18,-50.21,59.22,77,100,17.47,BR,1601736639
Visby,57.64,18.3,59.0,82,100,17.22,SE,1601736640
Bambous Virieux,-20.34,57.76,75.2,73,20,8.05,MU,1601736641
Mehamn,71.04,27.85,47.77,81,14,9.55,NO,1601736642
Pike Creek,39.73,-75.7,62.01,58,1,9.17,US,1601736642
Fort Nelson,58.81,-122.7,39.2,93,75,2.24,CA,1601736643
Tuktoyaktuk,69.45,-133.04,41.0,93,75,11.41,CA,1601736644
Kapaa,22.08,-159.32,75.2,94,20,3.36,US,1601736644
Bengkulu,-3.8,102.27,77.99,85,96,7.92,ID,1601736605
Castro,-24.79,-50.01,80.1,54,37,10.11,BR,1601736382
Kahului,20.89,-156.47,73.4,78,1,5.82,US,1601736646
Menongue,-14.66,17.69,72.23,54,93,11.48,AO,1601736647
Los Llanos de Aridane,28.66,-17.92,78.8,65,20,17.22,ES,1601736648
Charters Towers,-20.1,146.27,63.63,83,0,11.03,AU,1601736648
Maniwaki,46.38,-75.97,50.16,56,32,1.07,CA,1601736649
Porteirinha,-15.74,-43.03,97.45,13,0,8.1,BR,1601736650
Nome,64.5,-165.41,46.4,75,90,10.29,US,1601736651
Mar del Plata,-38.0,-57.56,46.4,52,75,14.99,AR,1601736376
Béboto,8.27,16.94,88.32,65,18,2.64,TD,1601736653
Perbaungan,3.57,98.96,76.3,89,100,3.06,ID,1601736654
Santa Cruz de la Sierra,-17.8,-63.17,87.8,33,40,14.99,BO,1601736654
Tataouine,32.93,10.45,107.6,6,93,14.99,TN,1601736395
Birjand,32.87,59.22,77.0,14,20,16.11,IR,1601736656
Tignère,7.37,12.65,74.91,84,99,3.71,CM,1601736657
Nabire,-3.37,135.48,77.63,86,100,2.93,ID,1601736451
Zheleznodorozhnyy,55.75,38.0,60.8,58,100,6.71,RU,1601736658
Navlya,52.83,34.5,64.4,39,40,8.95,RU,1601736659
Tagusao,9.19,117.81,82.24,78,93,8.48,PH,1601736660
Mossamedes,-15.2,12.15,68.14,70,83,9.78,AO,1601736660
Lagoa,39.05,-27.98,68.68,82,80,15.12,PT,1601736662
Qaqortoq,60.72,-46.03,39.2,86,75,2.24,GL,1601736663
Port Shepstone,-30.74,30.45,63.86,87,100,19.6,ZA,1601736663
Lavrentiya,65.58,-171.0,38.89,83,94,13.51,RU,1601736664
Mahébourg,-20.41,57.7,75.2,73,20,8.05,MU,1601736665
Esmeralda,21.85,-78.12,84.2,79,75,12.75,CU,1601736666
Stubbekøbing,54.89,12.04,62.01,96,99,26.87,DK,1601736667
Tilichiki,60.47,166.1,29.55,90,0,6.82,RU,1601736668
Novopokrovka,49.84,36.55,66.2,39,40,8.95,UA,1601736668
Sohag,26.56,31.69,93.2,21,0,13.87,EG,1601736669
Santa Helena de Goiás,-17.81,-50.6,101.16,11,24,8.32,BR,1601736670
Hualmay,-11.1,-77.61,66.51,73,64,8.86,PE,1601736671
Souillac,-20.52,57.52,75.2,73,20,8.05,MU,1601736671
Machaneng,-23.19,27.49,86.95,37,70,10.92,BW,1601736672
Severo-Kuril'sk,50.68,156.12,45.37,74,100,8.28,RU,1601736673
Vylkove,45.4,29.59,70.52,63,100,14.16,UA,1601736673
Tual,-5.67,132.75,81.21,81,100,15.46,ID,1601736674
Eldorado,-23.79,-54.28,101.03,22,80,6.17,BR,1601736675
Novikovo,51.15,37.89,61.54,31,57,8.61,RU,1601736675
Iqaluit,63.75,-68.51,32.0,94,90,2.24,CA,1601736415
Narok,-1.08,35.86,72.75,36,65,9.1,KE,1601736676
Westport,41.14,-73.36,63.0,62,1,3.36,US,1601736677
Yanam,16.73,82.22,80.6,88,90,8.05,IN,1601736678
Kavaratti,10.57,72.64,81.39,72,90,10.07,IN,1601736679
Turka,49.15,23.03,64.0,93,100,4.0,UA,1601736679
Faanui,-16.48,-151.75,78.28,77,24,20.27,PF,1601736680
Esim,4.87,-2.24,79.27,77,97,7.74,GH,1601736681
Punta de Piedra,7.62,-71.49,85.23,63,0,2.91,VE,1601736683
Ilulissat,69.22,-51.1,29.71,96,81,5.44,GL,1601736684
Mineiros,-17.57,-52.55,99.77,11,37,7.94,BR,1601736684
Salinas,36.68,-121.66,55.4,100,75,2.37,US,1601736685
Fairbanks,64.84,-147.72,51.8,68,90,9.17,US,1601736686
Horsham,51.06,-0.33,60.01,87,40,5.82,GB,1601736686
Kiryat Gat,31.61,34.76,81.0,65,0,12.84,IL,1601736687
Airai,-8.93,125.41,58.82,98,64,2.55,TL,1601736688
Bowen,-20.02,148.23,73.4,73,75,14.99,AU,1601736688
Rochegda,62.8,43.25,40.15,75,4,4.16,RU,1601736689
Fort Smith,35.39,-94.4,61.0,76,20,6.93,US,1601736482
Monte Alegre,-2.01,-54.07,95.32,37,33,5.37,BR,1601736691
Sittwe,20.15,92.9,82.85,84,100,9.64,MM,1601736692
Olhão,37.03,-7.84,66.2,68,20,19.46,PT,1601736692
Yatou,37.15,122.38,60.1,60,87,2.35,CN,1601736693
Malé,4.17,73.51,82.4,78,90,19.46,MV,1601736398
Te Anau,-45.42,167.72,51.64,89,95,9.01,NZ,1601736605
Mīnāb,27.15,57.08,91.4,66,0,9.17,IR,1601736695
Beringovskiy,63.05,179.32,38.41,89,100,21.65,RU,1601736696
Aromashevo,56.86,68.64,43.09,79,83,11.99,RU,1601736696
Burlington,39.88,-74.64,63.0,63,1,9.17,US,1601736698
Geraldton,-28.77,114.6,50.0,66,3,8.05,AU,1601736699
Sampit,-2.53,112.95,75.16,90,67,2.8,ID,1601736699
Dingle,11.0,122.67,77.07,88,100,1.28,PH,1601736700
Port Hedland,-20.32,118.57,82.4,20,0,19.46,AU,1601736581
Nouadhibou,20.93,-17.03,87.8,38,0,21.92,MR,1601736702
Esperance,-33.87,121.9,48.2,87,75,6.93,AU,1601736703
Belyy Yar,53.6,91.39,30.2,86,12,2.24,RU,1601736704
Chunskiy,56.08,99.63,32.45,89,90,3.15,RU,1601736704
Tazovsky,67.47,78.7,32.31,93,76,20.31,RU,1601736705
Freeport,40.66,-73.58,64.99,63,1,3.36,US,1601736655
Dwārka,22.24,68.97,82.29,77,0,10.87,IN,1601736706
Novaya Ladoga,60.1,32.3,62.01,25,69,9.08,RU,1601736707
Huarmey,-10.07,-78.15,68.34,70,42,10.25,PE,1601736708
Hay River,60.82,-115.8,46.4,81,75,13.87,CA,1601736708
Brae,60.4,-1.35,55.4,93,100,20.8,GB,1601736709
Qui Nhon,13.77,109.23,81.68,82,74,3.0,VN,1601736710
Yangi Marg`ilon,40.43,71.72,64.4,31,38,2.24,UZ,1601736711
Zyryanovsk,49.74,84.27,41.27,64,0,2.3,KZ,1601736712
Kūhdasht,33.53,47.61,86.0,16,20,6.93,IR,1601736713
Hobyo,5.35,48.53,79.32,81,42,15.48,SO,1601736713
Teya,60.38,92.63,42.3,88,100,8.39,RU,1601736714
Saskylakh,71.92,114.08,22.66,97,96,10.67,RU,1601736715
Ngunguru,-35.62,174.5,48.0,91,0,5.32,NZ,1601736716
George Town,5.41,100.34,82.4,78,40,6.93,MY,1601736689
Bambanglipuro,-7.95,110.28,77.97,87,70,9.01,ID,1601736717
Cody,44.53,-109.06,48.2,61,1,5.82,US,1601736718
Menzelinsk,55.73,53.1,55.4,54,43,6.71,RU,1601736719
Leningradskiy,69.38,178.42,31.39,96,100,11.48,RU,1601736720
Sault Ste. Marie,46.52,-84.33,42.8,81,90,3.36,CA,1601736721
Grindavik,63.84,-22.43,42.8,81,75,17.22,IS,1601736722
Shahrud,36.42,54.98,62.49,36,4,10.47,IR,1601736722
Zabolotovka,50.27,39.31,61.29,32,100,5.75,RU,1601736723
Itarema,-2.92,-39.92,88.99,48,24,19.15,BR,1601736724
Tumaco,1.8,-78.82,81.95,68,57,5.14,CO,1601736725
Katsuura,35.13,140.3,71.6,83,75,3.36,JP,1601736726
Bontang,0.13,117.5,79.38,85,100,9.08,ID,1601736726
Klaksvík,62.23,-6.59,50.0,93,100,13.87,FO,1601736727
Guane,22.2,-84.09,83.19,75,100,16.15,CU,1601736728
Ransang,8.96,117.58,81.63,80,85,6.55,PH,1601736728
Xai-Xai,-25.05,33.64,73.24,86,61,6.55,MZ,1601736729
Aklavik,68.22,-135.01,39.2,93,90,3.36,CA,1601736730
Inongo,-1.95,18.27,79.12,73,79,1.83,CD,1601736730
Grand Gaube,-20.01,57.66,73.99,71,4,1.99,MU,1601736731
Sechura,-5.56,-80.82,71.76,61,44,8.25,PE,1601736731
Dashitou,43.31,128.51,40.64,80,0,4.25,CN,1601736732
Abbotsford,49.06,-122.25,53.01,93,75,0.96,CA,1601736565
Matonga,-2.38,34.08,85.41,26,94,4.92,TZ,1601736733
Bandarbeyla,9.49,50.81,80.19,76,30,16.84,SO,1601736734
Isiro,2.77,27.62,79.03,76,77,1.88,CD,1601736735
Nanortalik,60.14,-45.24,36.91,87,62,11.68,GL,1601736735
Nioro,13.35,-15.75,93.34,54,5,3.31,GM,1601736736
Caravelas,-17.71,-39.25,85.05,54,17,11.32,BR,1601736737
Lashio,22.93,97.75,70.83,93,59,1.21,MM,1601736738
Levice,48.22,18.61,77.0,65,58,4.0,SK,1601736739
Brusque,-27.1,-48.92,68.0,88,75,11.41,BR,1601736739
Nekhayevskiy,50.41,41.76,57.79,32,58,7.61,RU,1601736740
Adrar,20.5,-10.07,95.92,14,0,3.13,MR,1601736740
Trairi,-3.28,-39.27,88.59,47,15,17.43,BR,1601736720
Sokol,59.46,40.12,52.38,87,100,4.88,RU,1601736742
Kavieng,-2.57,150.8,82.76,76,25,7.67,PG,1601736742
Storforshei,66.4,14.52,55.99,58,20,13.87,NO,1601736743
Pathein,16.78,94.73,77.67,93,100,4.32,MM,1601736744
São Filipe,14.9,-24.5,82.13,70,0,10.71,CV,1601736745
Santa Cruz de Tenerife,28.47,-16.25,73.0,100,75,19.46,ES,1601736745
Ishigaki,24.34,124.16,81.05,74,26,11.05,JP,1601736746
Namatanai,-3.67,152.43,79.88,83,90,8.93,PG,1601736747
Chippenham,51.46,-2.12,55.99,92,100,4.0,GB,1601736747
Touros,-5.2,-35.46,86.0,55,40,14.99,BR,1601736748
Tiksi,71.69,128.87,25.38,95,60,20.78,RU,1601736748
Joura,26.34,77.81,86.0,28,5,3.91,IN,1601736750
Itoman,26.12,127.67,78.8,74,20,8.05,JP,1601736584
Faya,18.39,42.45,78.8,10,20,14.99,SA,1601736751
Mēga,4.05,38.3,73.45,42,61,16.17,ET,1601736752
Whitecourt,54.15,-115.69,33.8,78,20,2.24,CA,1601736456
Almaznyy,48.04,40.05,68.0,37,97,11.18,RU,1601736753
Vestmanna,62.16,-7.17,50.0,93,100,13.87,FO,1601736754
Itaunja,27.08,80.92,84.2,83,75,2.24,IN,1601736755
Ketchikan,55.34,-131.65,55.4,100,90,11.41,US,1601736754
West Wendover,40.74,-114.07,46.4,42,1,3.44,US,1601736718
Dunedin,-45.87,170.5,63.0,46,98,13.4,NZ,1601736551
Nouakchott,18.09,-15.98,98.6,20,0,13.87,MR,1601736758
Porto Torres,40.84,8.4,60.8,87,75,11.41,IT,1601736759
Marawi,8.0,124.29,78.01,86,88,1.99,PH,1601736623
Bogoslovka,53.21,44.8,64.99,38,42,5.3,RU,1601736760
Khovd,48.01,91.64,36.25,72,0,2.08,MN,1601736761
Deputatsky,69.3,139.9,23.54,96,100,20.94,RU,1601736762
Thunder Bay,48.4,-89.32,39.0,74,90,2.89,CA,1601736762
Mawlaik,23.63,94.42,79.16,88,63,1.5,MM,1601736763
Lüderitz,-26.65,15.16,62.65,60,0,15.26,NA,1601736764
Ushtobe,45.25,77.98,50.4,47,10,4.85,KZ,1601736764
Wiarton,44.74,-81.13,45.0,93,90,4.7,CA,1601736766
Cherskiy,68.75,161.3,27.95,97,34,7.27,RU,1601736766
Quatre Cocos,-20.21,57.76,75.2,73,20,8.05,MU,1601736767
Alyangula,-13.85,136.42,71.6,83,68,2.89,AU,1601736768
Daru,-9.08,143.21,78.26,88,100,17.54,PG,1601736768
Saint-Philippe,-21.36,55.77,73.4,78,40,11.41,RE,1601736477
Bara,10.37,10.73,85.33,55,100,4.12,NG,1601736770
Moree,-29.47,149.85,68.0,49,0,14.99,AU,1601736770
Grand-Santi,4.25,-54.38,94.86,39,68,4.56,GF,1601736771
Taree,-31.9,152.47,62.6,82,1,10.29,AU,1601736771
Buala,-8.14,159.59,79.97,80,15,7.25,SB,1601736772
Praia,14.92,-23.51,86.0,66,40,20.8,CV,1601736773
Edd,13.93,41.69,92.21,44,7,11.7,ER,1601736773
Sol'-Iletsk,51.16,54.99,57.07,54,3,4.72,RU,1601736774
Rjukan,59.88,8.59,55.4,82,75,3.36,NO,1601736775
Paris,48.85,2.35,59.0,76,90,8.05,FR,1601736661
Impfondo,1.64,18.07,89.67,49,45,2.24,CG,1601736776
Carnarvon,-24.87,113.63,62.6,59,0,26.4,AU,1601736777
Longyearbyen,78.22,15.64,33.8,80,20,3.36,SJ,1601736668
Mayor Pablo Lagerenza,-19.93,-60.77,92.14,30,40,10.8,PY,1601736778
Jamiltepec,16.28,-97.82,75.69,60,89,3.38,MX,1601736778
Sola,-13.88,167.55,78.19,79,25,22.3,VU,1601736779
Amberley,39.2,-84.43,59.0,70,79,3.62,US,1601736780
San Miguel de Cozumel,20.51,-86.95,77.0,100,90,17.22,MX,1601736780
Kuytun,54.34,101.5,28.2,89,5,6.22,RU,1601736781
Broken Hill,-31.95,141.43,77.0,25,37,12.75,AU,1601736782
Sørland,67.67,12.69,52.38,78,0,13.6,NO,1601736782
Ongandjera,-17.88,15.07,94.21,10,50,3.06,NA,1601736783
Slochteren,53.22,6.81,60.01,87,90,5.82,NL,1601736784
Mandalay,21.97,96.08,81.5,73,43,3.71,MM,1601736516
Coahuayana Viejo,18.73,-103.68,68.0,64,5,11.41,MX,1601736785
Vila Velha,-20.33,-40.29,89.6,52,0,12.75,BR,1601736786
Am Timan,11.03,20.28,87.44,65,97,3.18,TD,1601736786
Vondrozo,-22.82,47.28,61.47,100,100,3.22,MG,1601736787
Kutum,14.2,24.67,89.33,25,54,11.18,SD,1601736787
Wanaka,-44.7,169.15,47.95,75,3,10.42,NZ,1601736788
Juneau,58.3,-134.42,50.0,100,75,5.82,US,1601736721
Sabang,5.89,95.32,81.57,76,100,12.01,ID,1601736790
Avera,33.19,-82.53,64.4,59,1,6.93,US,1601736790
Henties Bay,-22.12,14.28,57.99,84,1,7.0,NA,1601736791
Ust'-Kulom,61.69,53.69,36.86,80,12,5.12,RU,1601736792
Pop,40.87,71.11,60.8,55,0,4.7,UZ,1601736792
Port-Gentil,-0.72,8.78,78.15,84,100,10.83,GA,1601736793
San Miguel de Tucumán,-26.82,-65.22,60.8,48,90,11.41,AR,1601736793
Makkah al Mukarramah,21.43,39.83,91.0,40,0,9.4,SA,1601736794
Tautira,-17.73,-149.15,73.4,83,20,3.36,PF,1601736796
Port Keats,-14.25,129.55,81.25,77,100,11.52,AU,1601736797
Celestún,20.87,-90.4,81.86,69,99,25.55,MX,1601736798
Kiama,-34.68,150.87,64.99,77,64,8.01,AU,1601736798
Korla,41.76,86.15,57.11,32,67,2.86,CN,1601736799
Olafsvik,64.89,-23.71,42.24,70,73,8.48,IS,1601736800
Alice Springs,-23.7,133.88,86.0,19,0,19.46,AU,1601736801
Luís Correia,-2.88,-41.67,91.69,42,2,11.92,BR,1601736802
Tabou,4.42,-7.35,79.21,82,100,11.63,CI,1601736803
Negombo,7.21,79.84,82.4,78,40,9.17,LK,1601736803
Kieta,-6.22,155.63,78.08,77,15,6.08,PG,1601736804
Elk River,45.3,-93.57,43.0,77,96,3.11,US,1601736518
Wattegama,6.8,81.48,82.4,78,40,5.82,LK,1601736805
Sibolga,1.74,98.78,78.76,77,100,3.13,ID,1601736806
Sisimiut,66.94,-53.67,32.61,91,73,7.49,GL,1601736807
Provideniya,64.38,-173.3,38.16,78,81,14.27,RU,1601736809
San Cristobal,7.77,-72.22,89.6,35,40,16.11,VE,1601736810
Anchorage,61.22,-149.9,53.6,62,75,9.17,US,1601736773
Abilene,32.45,-99.73,64.99,68,1,13.87,US,1601736811
Nur-Sultan,51.18,71.45,51.8,66,85,6.71,KZ,1601736812
Bud,39.45,-86.18,53.01,66,1,3.36,US,1601736812
Mananjary,-21.22,48.33,72.86,90,93,8.08,MG,1601736813
Ormara,25.21,64.64,85.64,58,0,10.54,PK,1601736814
Rong Kwang,18.34,100.32,77.32,87,88,1.86,TH,1601736815
Halifax,44.65,-63.57,61.0,77,4,1.99,CA,1601736574
Roald,62.58,6.13,66.2,42,0,12.75,NO,1601736816
Sarmanovo,55.26,52.59,55.4,54,0,6.71,RU,1601736817
Sos'va,59.18,61.86,38.17,76,86,6.13,RU,1601736817
Pangnirtung,66.15,-65.71,30.2,100,90,3.44,CA,1601736818
Broome,42.25,-75.83,53.01,75,40,6.93,US,1601736819
Heishan,41.69,122.11,56.14,43,22,12.01,CN,1601736819
Nosy Varika,-20.58,48.53,74.44,84,61,3.33,MG,1601736820
Pilibanga,29.49,74.08,84.02,16,0,0.74,IN,1601736821
Bonavista,48.65,-53.11,60.93,94,100,18.21,CA,1601736821
Fukuechō,32.69,128.84,73.36,79,57,5.1,JP,1601736822
Qingdao,36.1,120.37,66.0,82,99,2.24,CN,1601736823
Baní,18.28,-70.33,82.99,83,40,11.41,DO,1601736823
Salinópolis,-0.61,-47.36,85.59,65,15,14.09,BR,1601736727
Ostrovnoy,68.05,39.51,39.96,73,46,10.76,RU,1601736825
Axum,14.12,38.72,67.55,46,14,9.06,ET,1601736825
Darnah,32.77,22.64,85.33,45,82,3.42,LY,1601736826
Camacha,33.08,-16.33,75.2,73,40,18.34,PT,1601736827
Zhanjiang,21.28,110.34,79.86,89,16,9.53,CN,1601736827
Clyde River,70.47,-68.59,30.2,74,75,5.82,CA,1601736828
Kimbe,-5.55,150.14,74.62,89,3,4.65,PG,1601736829
Koungheul,13.98,-14.8,93.79,51,1,6.15,SN,1601736829
Kang,-23.68,22.79,92.91,10,1,11.32,BW,1601736830
Hūn,29.13,15.95,104.79,7,0,8.77,LY,1601736831
The Valley,18.22,-63.06,86.0,83,40,13.87,AI,1601736832
Alofi,-19.06,-169.92,75.2,94,100,6.93,NU,1601736832
Sadove,46.25,30.18,69.8,83,40,15.66,UA,1601736833
Shache,38.42,77.24,53.55,38,71,3.94,CN,1601736631
Sarangani,5.4,125.46,84.96,74,100,10.94,PH,1601736834
La Ronge,55.1,-105.28,39.2,93,75,3.36,CA,1601736835
Karaton,-6.34,106.1,82.0,83,20,4.7,ID,1601736836
Mandalgovi,45.76,106.27,24.22,84,0,12.24,MN,1601736836
